"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"cya later @Brazil !!!! BYEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>",FALSE,2,NA,2018-07-06 19:55:35,FALSE,NA,"1015323393866989569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TehGameHub",0,FALSE,FALSE,NA,NA
"@conradtreanor @stilesoobrien @Brazil Yes they are",FALSE,0,"conradtreanor",2018-07-06 19:55:35,FALSE,"1015323055936147456","1015323393082654720","2770024217","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","B_79_73",0,FALSE,FALSE,NA,NA
"Hey @Brazil for you the Var is over <f0><U+009F><U+0091><U+008B><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008B><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008B><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008B><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008B><f0><U+009F><U+008F><U+00BB> #gohome",FALSE,0,NA,2018-07-06 19:55:31,FALSE,NA,"1015323378000031744",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","golfbollox",0,FALSE,FALSE,NA,NA
"Bye bye @brazil.  @Eng___Football could win a WC without having to beat Brazil, Argentina, Germany, Spain, Portugal… https://t.co/BRRWTGBcej",FALSE,0,NA,2018-07-06 19:55:30,TRUE,NA,"1015323372274798592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hobo9917",0,FALSE,FALSE,NA,NA
"What a brilliant performance from @BelRedDevils what a deserving win over @Brazil
#WorldCup 
#BRABEL",FALSE,1,NA,2018-07-06 19:55:29,FALSE,NA,"1015323368415997954",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","youngjoe452",0,FALSE,FALSE,NA,NA
"Glass (Belgium) broken the @Brazil hearts in to pieces",FALSE,1,NA,2018-07-06 19:55:28,FALSE,NA,"1015323362334162944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HelloRJSuresh",0,FALSE,FALSE,NA,NA
"@stilesoobrien @conradtreanor @Brazil Meh, so are you Brazilian or French? https://t.co/bFkT6qGVIX",FALSE,1,"stilesoobrien",2018-07-06 19:55:20,FALSE,"1015323014773305344","1015323328939200513","959936787857723392","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","B_79_73",0,FALSE,FALSE,NA,NA
"Thank u for nothing @Brazil",FALSE,0,NA,2018-07-06 19:55:19,FALSE,NA,"1015323325688508417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heyyitspaulaa",0,FALSE,FALSE,NA,NA
"<f0><U+009F><U+0098><U+0082> SEEYA @Brazil! <f0><U+009F><U+0091><U+008B><f0><U+009F><U+008F><U+00BB> I fucking love this #WorldCup Fuck off home @neymarjr <f0><U+009F><U+0096><U+0095><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0098><U+0082> #BRABEL",FALSE,0,NA,2018-07-06 19:55:17,FALSE,NA,"1015323319279783937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sym0n",0,FALSE,FALSE,NA,NA
"@neymarjr put the target on his own back. The best players get the calls. He’s just another Robinho @Brazil… https://t.co/fbVx8mXGW4",FALSE,0,"neymarjr",2018-07-06 19:55:16,TRUE,NA,"1015323313919483904","158487331","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulhvicente",0,FALSE,FALSE,NA,NA
"So glad that @Brazil and their diving team lead by @neymarjr are out of the #WorldCup #GoodRiddance",FALSE,1,NA,2018-07-06 19:55:15,FALSE,NA,"1015323308202524672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamVaseek",0,FALSE,FALSE,NA,NA
"Bring on the riots @Brazil",FALSE,2,NA,2018-07-06 19:55:06,FALSE,NA,"1015323272118964227",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matthewkoval_",0,FALSE,FALSE,NA,NA
"They talked too much and now they're going home @Brazil",FALSE,5,NA,2018-07-06 19:55:04,FALSE,NA,"1015323265332666369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","J_Morua",4,FALSE,FALSE,NA,NA
"Eliminated by Belgium in a World Cup? @Brazil https://t.co/OseKIQBElB",FALSE,5,NA,2018-07-06 19:55:04,FALSE,NA,"1015323261842935808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Friar_Faithful",0,FALSE,FALSE,NA,NA
"@Brazil the sole reason you're out https://t.co/XPK9XSXG0W",FALSE,0,"Brazil",2018-07-06 19:55:03,FALSE,NA,"1015323257774510084","1176695388","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mickclark6441",0,FALSE,FALSE,NA,NA
"A loss for Brazil is a win for humanity.  Off you go cunts @brazil",FALSE,0,NA,2018-07-06 19:55:01,FALSE,NA,"1015323250480513025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YanitedWayy",0,FALSE,FALSE,NA,NA
"So many chances for the favourites @Brazil - so little to show. A choke. Belgium just superb. Epic stuff @russiaworld2018",FALSE,6,NA,2018-07-06 19:55:01,FALSE,NA,"1015323248966299648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WilkoSport",0,FALSE,FALSE,NA,NA
"soooooooooooooo long, @Brazil @BrazilStat #Brazil #BRABEL !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",FALSE,0,NA,2018-07-06 19:55:00,FALSE,NA,"1015323247313866755",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lecontinental",0,FALSE,FALSE,NA,NA
